prompt,completion
我跟我“先生”认识的时候，不知道他有太太，但知道实情后，我还是采取了鸵鸟政策，我想只要他跟我在一起就好。 他的太太在国外，表面上我们之间不会相互影响。我和他举办了所谓的结婚仪式，并且作为夫妻生活在一起，后来发现问题越来越多，现在我感到非常的痛苦和纠结。 请问老师，我该怎么办呢？,感谢这位朋友的提问。 听到这位朋友的问题后，姚老师建议，无论你有再多的借口，都要快速结束这段关系。你当初是在无意识中种下了坏种子，因为不知道他有太太，就跟他建立了伴侣关系。 不要以此为借口，你现在已经知道了，他是有太太的，不要相信他说他跟太太关系不好，他迟早会跟她离婚。不论如何，他是有太太的，你就必须离开他。至于他的伴侣关系如何，是他需要去面对和解决的，而你要解决的是自己的问题，就是第三颗种子：尊重他人伴侣关系。 一个不尊重他人伴侣关系的人，通过抢夺的方式，从别人那里得到的爱情，终将经不起时间的考验。最后会被更年轻的人，更吸引他的人，或者是他觉得更能让他感到快乐、更富有激情的人抢走。 任何一个朋友，都不要认为自己这样的感情经历是特别的，所有人的邪淫都是不对的。不论对方有多好，不论对方跟你说他婚姻有多糟，不论你觉得你们之前的爱有多深，都是不可以的。 格西老师说过，如果我们违反犯第三颗种子，就会产生以下三种结果：第一，这种情况一定会发生在你们的关系中，被抢来的东西一定会被别人再抢走；第二，就算他不被别人抢走，因为种下这样的种子，你会永远处于不确定的关系中，你时常会怀疑他外面有其他情人；第三，你会对自己没有自信，觉得自己不够完美，担心自己留不住他。 所以，只要我们不尊重他人的伴侣关系，我们自己的伴侣关系就不可能变好，必将会出现问题。因此，现在最重要的，就是你必须离开他，然后拔除坏种子，当我们将所有的坏种子拔除之后，才会迎来忠贞的伴侣。
这些年来，我有些坏习气，让我总是习惯性地认为老公和婆婆在我与小姑子的矛盾中，没有帮我说话，现在知道了，是自己幸灾乐祸和不和谐的种子造成的。 有时会想起种子和空性，刻意压抑自己的情绪，但仍然时不时想起来就愤怒，反反复复，情绪升起压下，再升起再压下，这让我很痛苦。请问老师，我该如何解脱？,感谢这位朋友的提问。 首先，要恭喜你已经开始在改变你的习气了！你在问问题的时候，前面一开头就说多年的习气让我怎么怎么样，这说明什么呢？ 原来我们几十年来都是这样思考问题的，觉得世界是在外面的，所有对不起我的人都是在外面的，他们做对不起我的事，我就愤怒的。这种习气指导我们的意识、人生观、世界观、和为人处事的方式，已经几十年了。 我们都知道，每一个弹指间就种会下 65 颗种子，每一天我们就会种下 561.6 万颗种子。一年 365 天，想一下，几十年来我们种了多少坏种子，而且，这么多的坏种子每一天还会成倍的增长。 我不知道提问的朋友学习金刚智慧有多长时间了，有没有来认真的上过DCI的课程？有没有每一天坚持练习瑜伽冥想？ 当我们学习智慧后，开始去种好种子，我们开始说好话、说和谐的话，不再幸灾乐祸，也不再轻易地发火，但我们种下的这些好种子，还远远地排在以往的那些坏种子后面。 所以我说要恭喜这位朋友，恭喜你其实已经有很多好种子，抢先在那些坏种子前面成熟了，你已经从一种坏的世界观、一种多年的坏习气当中，转化为一些新的好习气。 你已经知道，不帮我说话的老公和婆婆是你自己创造的，你想要用新的种子去重新创造他们。 在你内心里，天使和魔鬼已经在打仗了，天使已经越来越强大了，它会越来越快的提醒你：空性和种子，虽然有时候魔鬼会把天使打下去，但是你就是在天使和魔鬼的战争中成长，恭喜你已经开始成长。 经历痛苦，是我们成长蜕变的过程，就像一个蛹，它要破茧成为一只美丽的蝴蝶，是要经历挣扎和痛苦的。 姚老师恭喜你、赞美你、欣赏你的时候，你也要记住每一天都恭喜自己、赞美自己、欣赏自己。 这个世界上有90%甚至更多的人，活在和外边的老公、婆婆、姑嫂、妯娌的战争中，一直在对外指责，一直在活在恶性循环中。 但你已经开始用种子和空性，在重新创造自己的完美世界，你已经做得很棒了，继续加油就好了。 以前愤怒一小时，现在愤怒半小时，以前要不开心一个月，还要跟老公冷战半个月，现在可能冷战一天就 ok 了，这些都是进步，请一定要继续加油。 再给你另外一个建议，就是一定要练瑜伽，因为瑜伽可以让我们的气进入中脉。当气进入中脉，你就会总是感觉到很开心，哪怕碰到问题，你都会很开心。 我们的心有太多的纠结，因为内在气脉没有畅通，有太多的气堵在愤怒的右脉里，我们就会有很多的愤怒。 通过自己练习瑜伽、分享瑜伽，通过帮助那些容易发怒的人，让他们的情绪得到缓解，让他们懂得更智慧的去看待问题，我们也会种下好的种子，让我们的瑜伽有效，让我们对治愤怒的方法有效。 祝福每一位朋友，婚姻伴侣关系忠贞圆满、白头偕老、相亲相爱，并且用我们的成功、我们的爱去服务整个世界，创造更高意义的生命价值和伴侣幸福的价值。
老师，我在政府部门从事文秘工作，工作内容是把国家的方针政策传达给相关的企业。我要怎么做，才能够把种子法则应用到工作中？才能真正利益国家、利益人民呢？,感谢这位朋友的提问。 这是一个非常棒的问题。当你在问“你要怎么做才能真正利益国家、利益人民”这个问题的时候，你已经拥有了这个动机和愿力。 接下来，就要把这个动机和愿力落实到点点滴滴、平凡琐碎的日常工作中。 我可以提供两点建议，供你参考。 第一个建议：带着觉知工作 格西老师说，他在做第一份工作的时候，就是一个帮老板扫办公室、擦玻璃、送文件、送物流的小小打工仔，但是带着副总裁的意识，去考虑怎么样去做好这些事情。 当带着这样觉知的时候，那么，擦玻璃也好，送物流也好，工作的状态就会完全不一样。 第二个建议：带着强大的动机和愿力工作 政府部门的工作本身就是造福人民的工作，就是在帮助企业如何运用好惠企政策，获得更大的发展。 企业下面有很多的员工，每一个员工背后又有一个家庭，如果，企业能够健康、顺利地发展，就会利益到很多的家庭，利益到社会的安定团结，以及国家的稳定繁荣。 事物的空性就体现在，你可以说你只是一个传达文件的小秘书，但也可以说，你帮助企业、企业中成千上万的员工、以及这些员工背后成千上万的家庭，你在让企业更繁荣，让人们更幸福。 所以，当我们在每一天，做每一个工作时，都能够带着强大的动机和愿力，并带着对这些事情的觉知，哪怕做的只是平凡而枯燥的工作，都能够种下强大的种子。 按下面这样做，你可以更成功： 如果，你想要在政府部门获得成功，可以做到更高的职位，然后更好地去服务企业，服务社会，那么，应该怎么做呢？ 方法就是：在你的部门或者所在单位找一个业力伙伴，帮助他的事业获得成功。 而且，总是留意你一起工作的同事身上的优点，告诉你的领导，某人有什么优点，某人擅长做什么，谁应该有更多的升职机会，谁应该更多地发挥他的专长，努力把他们推荐给你的上级。 如果，我们总是去推荐我们的同事，总是去帮助我们的业力伙伴，让他们的事业获得成功，那么，我们在政府机关里的事业也会越来越成功。 更强大的动机是：藉由我的成功，我会帮助服务更多的企业、更多的国家公民获得更强大的成功。 如果，我们能够带着这样美好的发心去做，带着自己可以帮助到千千万万人的觉知去做，那么，每一个平凡的工作都将产生非凡的效果。
老师，我的朋友是做装修施工生意的，公司这两年总是出现安全事故，最严重的一次，是工人直接从高处坠落。 我想了解，安全事故是什么原因造成的？朋友要种什么种子才能化解这种情况呢？,感谢这位朋友的提问。 听到这个问题，我的内心挺沉重的……工人从高处坠落，可能非死即伤，此事重大，需要引起重视。种子宝库第一讲，就是“关爱生命”。事故频发，跟伤害生命的种子有关，如果你的朋友想要改变这种状况，他一定要去种爱护生命的好种子。具体可以这么做： 第一点：在施工现场，带着觉知，带着对智慧深刻的理解，去做安全维护，这样就可以种下很多爱护生命的好种子。 对于施工单位，国家会有很多严格的施工安全规章制度。以前，可能我们会觉得，这是国家规定，出于人道主义原则，我们当然会去执行。但是因为不了解种子原理，无法深刻的体会到人的生命是如此的宝贵，也就没有认真严格地执行安全制度。 要像爱护自己的生命一样，去爱护每一个施工场地工人的生命，这样就会种下很多好种子，让我看见自己、家人，和所有的工人都能够安全健康。 在施工安全措施上，这位朋友，也应该按照国家甚至国际的最高标准去做，而不是能偷工减料就偷工减料，能不做就不做。 比如，高层建筑那些防止坠落的绿色安全网，就是生命的安全网，我有没有买最贵的？有没有去用最好的？我有没有去检查，每一个工人是否都认真地绑好了每一根绳子？ 还有，施工的临时电梯有没有用最好的？有没有定期、按时、认真地去检查它的润滑油？检查它所有的装置？有没有配备足够的消防器材？ 公司也要培训安全巡视员，对安全施工引起重视，不能仅仅把它做成一个工作去应付，安全细节一定要去抓。 每一个环节，只要认真去想，认真去做了，就能直接在我们工作中种下很多安全的好种子。 作为公司老板，如果不理解种子原理，不认真做好安全工作，造成非死即伤的事故，损失不仅是金钱上的伤亡赔付，更重要的是，造成了工人家属失去亲人的痛苦。 这颗坏种子，有可能会让我们在未来，看见所爱的人也因意外事故而伤亡。 所以，在工作中，每时每刻留意和关注工人的安全，不但会有利于我们事业的发展，让我们所有的工程顺利圆满地进行，更会为我们自己和家人的安全健康，种下很多好种子。 这是多么好的良性循环！  第二点：可以的话，请你这位朋友吃素。 事故已经发生过了，要赶紧做一些正向行为进行弥补，种下保护生命、爱护生命的好种子，比如：吃素、放生、然后回向。 吃素：每天一素，每周一素，或初一、十五吃素，都行，从能做到的开始。 朋友很想吃肉的话，就去吃净肉，也就是不要点杀健康鲜活的生命，尤其不要吃那些珍稀保护动物。这样会帮助他看见自己的工地安全，事业成功。 做装修工程，每一单生意都很大，我们传统的看法是，要做成这些生意就必须去搞关系，必须要请人吃海鲜，去吃活物，吃山珍野味…… 学习种子智慧之后，我们知道这是错误的。我们因此杀了很多生命，所种下的坏种子，时机成熟时，不好的事情就会呈现在我们世界当中。 放生：要找到正规运营的放生团体，科学放生。 回向：这些点点滴滴的正向行为，所种下的好种子，都要回向给在工伤中受伤或者死亡的工人。 总结一下： 看到有工人发生这些事情，要引起警惕，不要认为这些事情只会发生在工人身上。要为他人的不幸感到同情，要去检视自身有没有与此相关的坏种子，毕竟“我之所见，离我不远”！ 我们的世界出现这些事故，就像这支笔出现在我们的世界一样。它一定来自于我的种子，如果不去引起重视，坏种子可能还会成熟在自己或者亲人身上，这肯定是我们不愿意看到的…… 事情已发生，要慷慨地帮助受伤和受害的工人及家属，全身心投入，打造安全的施工环境，做一些吃素或放生的正向行为，认真地去种爱护生命的好种子，并回向给伤亡人员。
我的爱人是有八年投资经验的老股民，他一直很用心，前几年收益不错，但这两年有时赚钱有时赔钱，财富总是不见增长。 我学习种子智慧之后，觉察到老公的一些问题。比如小气，有时候在菜场，他会讨价还价。我和他说过希望他能够改变这些坏习气，变得慷慨一些。但是，我老公对佛学不感兴趣。 我要怎么做才能使老公能够有所觉知呢？如果他不改变小气的坏习惯，会影响到我种的种子吗？,感谢这位朋友的提问，这是一个非常接地气的问题。 记住，你的伴侣是你的种子创造的。 如果你看到伴侣有小气，那也是因为我们自己有小气。如果你看到他的财富不稳定，有时赚钱有时赔钱，财富增长不快，那也是因为我们在财富上，有时慷慨，有时吝啬，有时愿意给予，有时也会去掠夺竞争。 因为我们以前种过小气的种子，所以你会看到伴侣喜欢讨价还价，他的行为只是我们的镜子。包括他对学习什么样的智慧感兴趣，实际上也是我们的镜子。想一想，我们学过不止一门课程，跟了很多的老师，但，是不是很多时候就半途而废了呢？我们在学习新事物的时候，是不是不够开放，不够投入，不够精进呢？所以，你的老公，在接触新的智慧时，会显得不感兴趣。如果你想帮助你的老公，你只要改变这三颗种子，然后晚上咖啡冥想的时候回向给他。 1.如果你想要一个大方的老公，那你就要自己去拔掉以前小气的坏种子，并且种下慷慨的好种子；2.如果你想要一个爱学习，并且对世界充满好奇的老公，那你自己要精进的学习能断金刚的智慧；3.如果你想要老公的财富稳定，你也必须始终稳定的，慷慨大度的对待他人。
我做事总是虎头蛇尾。例如，年前的时候，5:00就能起来做瑜伽冥想，过年就忘了，现在很挣扎，每天都定闹铃，就是起不来。 工作也是这样，3分钟热度，很快就没有兴趣了，这也影响到了我的孩子，他也没有什么游戏愿意长久地玩。我想要改变这种情况，请问该如何去做？,感谢这位朋友的提问，这是个非常棒的问题，姚老师以前也有这样的问题，尤其在我的学生时代。 那时的我，永远不能按时完成假期的作业，总是开始的时候很认真，后面就只顾着去玩了，开学前的两三天开始拼命的赶作业，但是永远也赶不完。 这种三天打鱼两天晒网、虎头蛇尾的性格状态，我相信，很多人都会有共鸣吧。 我是怎么改的呢？在我学习了智慧之后，很怕自己在智慧的道路上走丢了，就想了一个办法，做事情时先把自己摆上台。 比如，我自己一个人读《能断金刚》这本书的话，我读着读着就不想读了，会去换另一本书。当我意识到这个问题后，就马上跟其他几位伙伴说，我们一起来开读书会，一起来读这本书。这个办法真的很有用哦。 所以，我给你的第一个建议是：要经常将自己做的事情公之于众，尤其是要告诉对你特别有期望的人。 比如开读书会，带领大家一起读书，因为大家都看着你，对你充满了希望，你就只能往前走，而对你特别有期望的人关注你时，你也会为了他们更努力的。 第二个建议：为他人去做，不要为自己做。 当为自己做瑜伽的时候，做着做着就不想做了，但当明白了空性的原理与因果法则之后，我们就会知道，每一个行为背后的动机，是利己的还是利他的，会直接影响到种子的强弱程度。 建议你调整动机——为他人去练习瑜伽：我要更快的学好瑜伽，这样就可以带领别人一起做瑜伽了。或者，我身边有正在被病痛折磨的朋友和亲人，我想通过练习瑜伽帮他们分担痛苦，我是为他们去练习瑜伽的。在练瑜伽之前，先双手合十为他们祈祷：“把我瑜伽练习所种下的好种子，回向给他们，让他们获得身体的健康。“然后充满觉知地去练习瑜伽。 第三个建议：找一个业力伙伴。 去找一个跟你一样虎头蛇尾的业力伙伴。通过帮助他改善这种虎头蛇尾的行为，来提醒我们自己改善，你可以跟他说，我虎头蛇尾，我们相互提醒好吗？然后做好四步骤，就会看到事情的改变。 以上都是姚老师的切实经验，希望可以帮到你。
在生活中我老公总是对我恶语相向，指责我的不是，满嘴都是我的缺点，什么难听就骂什么，我感觉心好累，我平时也不骂人呀。请问我该种什么种子改变现状呢？,感谢这位朋友的提问，这个问题非常好。骂人不仅仅是出言不逊、恶语骂人，也包括隐藏不良动机的柔和表达。比如：阴阳怪气，冷嘲热讽。 骂人还包括意识当中很多没有说出来的恶念。身、语、意都是会种下种子的，尤其是在意识当中。 我们都是受过多年教育的人，都有做人的基本教养，不像孩子一样，我们已经学会了忍住不说伤害他人的话，也不会做伤害他人的事。 但是仍会在意识里转动很多恶念，很多尖锐、恶毒的意念，其实这也是在种下坏种子。 记住：种子很小，果实很大，而且种子不是在这个人身上种，就只会在这个人身上收。 也许是在我们青春期叛逆的时候，对父母亲说了一些尖锐伤人的话；也许是在我们的学生时代，嘲讽过同学身上的缺陷或者缺点…… 种子总是会开花结果，呈现在我们的世界中。 我们不用去纠结，过去到底对谁说了什么恶语，才造成现在这个如此大的结果，老公什么难听就用什么来骂我，而是要从现在开始去改变。 从现在开始，用柔和的言语对待他人，时刻觉知自己意识当中，有没有柔和的言语和善意的念头；同时，帮助我们身边那些喜欢用恶意方式去沟通的朋友。 另外，还有一个小小的细节也要注意，我们的微信圈及互联网世界，有一些人专门在各种各样的新闻下面，做恶毒的评价；有人总是发表负面的言论，或者一些明星粉丝团之间的舌战互骂，这些都是非常错误的方式。 或许你会说我没有做这些事情，但是我们可能会在不经意间，传播了一些带有阴阳怪气，冷嘲热讽的文章。 这些文章，有可能是就用一种毒舌的方式写成的。有些以毒舌著称的评论人或作者，会写一些嘲讽他人的故事及文章。 我们以前看的时候会觉得很幽默、很有趣，还会转发，实际上这些都是恶语，我们要在这些细节上多多注意。你有这个想要改变现状的觉知，而不是用同样的方式去回骂你老公，已经是非常好，只要你去种下和善的好种子，并加以咖啡冥想。老师相信，很快有一天，你会发现你老公，不知什么时候已经停止了对你“恶语相向”的行为，老师祝福你们拥有和谐美满的关系。
我知道现在的社会，有很多很多的女性朋友都开始注重自身的心灵成长，我也是。 我自从学习了金刚智慧，就一直很留意自己的身语意，避免种下坏种子。但最近，我发觉坏种子爆得特别多，这让我应接不暇。 虽然发生任何事情，我都会想笔的故事，也在不停地与身边的人分享笔的故事，鼓励身边的人，并且说柔和的语言，但不知道为什么，我每天都心事重重，开心不起来，请问我要种什么种子，才能让自己快乐地修行呢？,感谢你的好问题，在现在的社会，女性开始觉醒，市面上出现越来越多的心灵成长课程，但不管什么样的课程，只有快乐的修行，才叫真正的精进。当你一边在觉知自己的不开心的时候，还一边不停地分享智慧、鼓励身边的人，并且说柔和言语。恭喜你，你已经在为自己创造出一个开心快乐的未来。 每一天，当自己不快乐的时候，放下自己的那些情绪，不要纠结在坏情绪里，赶快走出家门，让自己给别人带去快乐。 其实，即使我们再不快乐，我们也可以对一个卖菜的小老板说：恭喜发财，今天生意很好哦；我们再不快乐，也可以对保安员说一声：谢谢你，对快递员说一声：你辛苦了。 这些小小、短短的词句，就可以给别人带去温暖和快乐，就会让我们的未来得到快乐。所以，给你的第一个建议就是，别纠结在那些不开心当中，去给他人带去快乐，种下快乐的种子，为自己的未来带来快乐。 第二个建议就是，一个好的学习智慧和修行智慧的人，一定要学会去做一个明智的忏悔的人。而不是整天指责自己、整天内疚的人。 我们的世界是不是不完美？是的！这些不完美是不是我们造成的？是的！我们过去是不是种下过很多坏种子？是的！这些都是的，但没有问题，因为我知道了笔的故事，现在我可以去改变它。所以，我们不要为泼在地上的咖啡去哭泣，我们应该赶快去拿一个扫把，把它扫干净，把咖啡杯捡起来，重新为自己，也为他人去泡一杯新的咖啡。你能够提这样的问题，说明你是一个善良的好人。一个善良的好人要学习觉知自己，不要太内疚和自责 ，要学会去欣赏和赞美自己的进步，要学会有勇气面对自己的坏的旧习气，勇敢地对峙它，然后用四力量去摧毁它。格西老师有一次来到广州，他问我们中国现在有什么好玩的事儿可以跟他分享，我们就告诉他现在《战狼》很火呀，他说我一定要跟你们去看一下这个《战狼》的电影。 我们跟老师一起买了票，带上爆米花，一起坐在电影院里都看《战狼》，按照我们这个修行人惯常的惯例，我们会觉得好血腥，好暴力，都是以暴制暴，不是什么大智慧，但是因为老师要看，我们就想看看老师会怎么来看这部电影，所以我们陪着老师一起看。 老师看得很开心，一直笑呵呵的，看完之后，我忍不住问了老师这个问题，我说：老师，这部电影很暴力，我怎么从一个这么暴力的电影里有所收获呢？这么暴力的电影，怎么可以有智慧的收获呢？老师给到的回答是：你不要把那个敌人看做在他外面，你把那些他所有要打仗的人，看作在他的里边，我们在战斗的只是我们内在的那些不断升级的人而已。 我恍然大悟，是啊！我们就是要像《战狼》里边那个英雄，像他那么勇敢、无畏、自信、有力量，我们可以战胜一切的敌人，那些敌人不在外面，那些敌人都在我们的内在。 我们要知道，敌人很多，敌人很坏，而且不断升级，但是我们要相信自己，相信我们能成为这样的战狼，我们才会有力量去战胜敌人。还有一点很重要的，你要练习瑜伽，一定要练习瑜伽，因为瑜伽的练习会帮助我们打开我们脉轮上的节，让气在中脉当中流动。 瑜伽可以通过身体、呼吸、意识，和我们的心同步运作，达成身心的合一。你会感受到一种爱和快乐的能量，所以，姚老师建议你，要花点时间，去做更多的瑜伽练习。 今天是第 111 个“国际妇女节”，在这么重要的日子里，老师想跟所有有缘读到这篇文章的女性朋友说： 修行，是一件快乐的事，在修行的路上，我们都会面临各种各样的问题，但正是这些困难，不断地提醒我们世界万物运作的原理，我们感恩这些困难，也提醒自己：我们不想要的生活，绝不要再去种下，我们想要什么样的生活，就去种下什么。 姚老师相信，当我们像战狼那般勇敢自信地去击倒每一个内在的“敌人”，我们的生活一定很快就会如三月的花朵般绚烂。 姚老师祝福每一位女性朋友，都能走上智慧修行的路，都能通过自己的努力，拥有五福的人生！
既然金刚智慧提倡的是帮助他人，但是为什么上金刚智慧的课程，却要我们自己花钱呢，为什么不能帮助我们，让我们免费上课呢？,这位朋友，谢谢你的好问题。 我先不回答你的问题，我想先来提一个问题：生在中国的我们，为什么可以越来越富裕呢？ 我的老师格西麦克说，是因为中国有孝顺的文化。中国人一直非常孝顺自己的父母亲，所以这是一个很强大的种子。 而且在中国也有尊师重道的文化，只有在中国，有一个教师节，在9月10号。 这种尊师重道的文化，孝顺的文化，创造了我们现在中国的富裕。 格西麦克说，他发现全世界的学生当中，中国的学生是最懂得种好种子的学生。格西麦克在整个亚洲，在华人区域也是得到了学生们更多的支持和帮助。 格西老师对所有华人地区的学生也是特别感恩。他说正是由于得到了我们的支持，他才能够回到印度，把金刚智慧继续带回到 Fotuo 当年教授智慧的地方。 现在，佛法其实在当地印度人当中，基本上已经泯灭，格西老师立志要把它重新带回印度，反哺印度。 他也想把这个智慧带到非洲，还有欧洲那些在战火中正遭受苦难的人们。其中有些国家，有些人，他们没有钱，但是我们也要去帮助他们，这份帮助，有来自我们亚洲同学们的支持，格西老师对这份帮助，非常的感恩。 我们都知道，种子要种在田里。田，有三块：恩田、敬田、悲田。 老师是我们的恩田，恩田就是对我们帮助很多的人，除了父母之外，老师就是帮助我们很多人的人，而且老师又是敬田，是能帮助更多人的人。 如果我们帮助眼前的这位老师，老师就可以帮助更多人。 当我们带着“我要在老师身上播种下慷慨的种子”这种动机，去缴费参加课程的时候，我们就在老师这块恩田（敬田）上，播种下了慷慨的种子，我们慷慨地支持了老师的事业。 老师在教课，同时，老师也需要生活，老师的事业也需要发展，而且，老师也希望能够去帮助更多的人。 一位老师，他一开始有10位学生，后来有100位学生，再后来，有 1000位，有甚至上万的学生............老师在帮助更多学生的过程中，我们的每一笔学费，都参与了其中，都支持到了老师更好的去帮助更多的人。你说是吗？ 回到我们自己身上，从自己这个角度来考虑，花钱去上课，也是很有意义的。 我们去学习知识，学习智慧，收获的是我们自己的成长，对吗？这种成长，是超越金钱本身的价值的，是无价之宝。 想想我们学习智慧之前和之后的状态，无论是在家庭还是工作中，无论是内在的成长还是外在财富或者关系的提升，都是智慧带给我们的。仔细复盘一下，亲爱的，是这样吗？ 而很酷的一点是，我们在收获这些无价之宝时，我们又帮助了恩田，又帮助了敬田，这是多么一举多得的好事啊！ 所以，付钱来上课这件事情，其实也是充满无限可能性的，你可以有一个比较低层次的动机，就说因为这位老师上的课，我还蛮感兴趣的，他既然要钱，那我就付钱呗。 而我心里头其实不开心，为什么要交钱呢，为什么不可以免费让我来上呢？但我很想来听，那我就交钱来上吧，心不甘情不愿的，这个动机就很低下了，所以你给出去的这个钱，在种子的动机层面，是较弱的。 第二个层次呢？ 我们可以这么想：OK，这个课程非常棒，公司或者主办方也非常好，我想要提升我的人生，我就支持这个公司的发展，我就去付钱上课，这个层次已经有所提高了。 这样想，是不是更酷呢？ 最后，我们可以针对这样一个更高的动机，做一个咖啡冥想。 我付出的每一分的学费，都可以帮助到这位老师去传播智慧，事业发展，他是我的恩田，我感恩他传播智慧给我。 他也是我的敬田，我通过帮助他一个人，就可以帮助到他背后更多更多的人。 有更多更多的人，因为我愿意慷慨地给予学费而从中受惠，他们的命运也由此改变，我就是那个能够帮助到很多人的人，我太为自己能够这样去做而感到开心了！ 去做咖啡冥想，那你这颗与智慧连接的种子，就会越来越强大，你这颗慷慨给予的财富的种子，也越来越强大。 那么，我们花钱去学习智慧，就变成了一举多得的事情，这是多么的美妙。
我有时会答应孩子一些事，像带她出去玩，或给她买吃的，但因为自己有事忙，就没有兑现；有时说好买一件礼物给她，但觉得她很可爱，就又给她多买了好几件，我觉得自己总是“说话不算话”。还有另一种情况，朋友叫我去玩，我总是不好意思拒绝，尽管去了，心里却是很不开心，我为自己这种无法坦诚表达自己的行为，还起了烦恼心，我该怎样调整自己的心态呢？,感谢这位学员的提问，这是两个很好的问题，如果是同一位学员提问的，我理解为两个角色，一个是对孩子的角色，一个是对身边的朋友的角色。 首先，我们特别容易在孩子和父母身上，种下不遵守承诺的种子。 对于孩子，我们总是认为孩子很弱小，他们是被我们所管教的，在孩子面前我们觉得我们拥有绝对的权威，所以有时候我们会忽略掉对孩子的承诺。 另外一个是对父母的承诺，我们会觉得无论我们做得好不好，做的对不对，父母都会爱我们，理解和体谅我们，所以，有时候对父母的承诺，我们就很容易会忽略。 但实际上，父母是恩田，父母是最重要且肥沃的土壤，是我们更应该要遵守承诺的对象！ 孩子也一样，孩子是容易被我们所忽略，觉得对他们不守承诺没什么大不了，下次再补偿他们就好了，这就违背了种子定律第三条——种下必将收获。 我们每时每刻的身语意，都会被摄像机拍摄下来，所以不要忽略这些非常重要又容易种下的坏种子，要非常留意和时刻觉知。 当你有了一份的留意和觉知，这已经是成功的第一步了，所以恭喜这位学员，已经有这样一份觉知。 姚老师提醒大家，孩子和父母都是非常重要的良田，在他们身上种下兑现承诺的好种子，会决定我们未来的成就，只要大家足够的重视和觉知，我们就一定会越做越好。 第二，和朋友之间的一些没有必要的活动，为什么不敢去拒绝呢？ 我们以为如果拒绝了朋友，就会失去友情，其实这只是表面因果。 真正关于“友情”的因果，是我们不要说挑拨离间的话，我们总是说撮合他人的话，总是去种十善业，朋友就会越来越多，而且高品质的朋友会越来越多，不用担心会失去朋友。 有没有发现这正好是第一个问题，跟孩子父母关系的另一个极端。我们因为害怕失去朋友而过度的承诺，甚至是在违背自己的这种状态下，去做一些让自己不开心的事情。 姚老师的切身体会，就是当我们懂得去规划好我们自己的生活和时间，去做更多有意义的事情的，同时也把一定的时间留给我们的朋友。 在与朋友聚会时，我们总是设法用一些更有智慧的话题和交流方式，去带动整个朋友聚会的品质，我们将会成为一个更受人尊重、拥有更多朋友的人！ 第三，你怎么样去婉言谢绝你的朋友？ 其实在时间管理这门课程，学会拒绝也是非常重要的一门功课。 学会拒绝，首先言语是非常柔和，态度非常柔和，动机是利他，始终记住动机利他，在每一次拒绝的时候给对方一个下台阶的机会，给到对方一个补偿。 比如当你特别想要安静，但朋友又希望带你去热闹的地方，你可以告诉她： 对不起！我今天真的有点疲惫，我现在特别想一个人安静一下，所以今天不能陪伴你了哦，如果你愿意的话，周六我们一起去爬爬山或者去瑜伽馆做瑜伽，好吗？ 就是坦言相告自己的情况，同时又给他一个补偿，给他另一个邀约。 格西老师在 DCI8 阶“自动领袖力”的课程中提到，领袖是有影响力的人，他们身上都有一个特别重要的特质，拥有一个特别好的种子：他总是快乐地去享受他的修行。 记住一点很重要，如果你不得不去做这件事情的时候，一定要克服自己不开心的心理，千万不要把时间给出去了，还一脸的不高兴内心又不开心，那你这些时间和陪伴其实都浪费了。 我们要换上一个新的动机。 我既然要来陪伴我的朋友，我的朋友现在需要我的时间，需要我的陪伴，这个时候我就要慷慨的给予我的时间，慷慨的给予我的陪伴，慷慨的给予我的耳朵去聆听，慷慨地帮他去排解。 你就把它当成一个修行，把你的时间、你的陪伴：你的聆听和宽容给予你的朋友。这个时候你就是在修行，开心地修行。 这就是格西老师说：当你不得不去做一件事情时一定要开心的去做，总是开心地去享受你正在做的事情，这就种下好种子让你拥有领袖力。
